day_of_week,weekday_name,hour,total_trips,total_revenue,total_fare_amount,total_trip_distance,total_trip_duration_min,total_passenger_count,credit_card_trip_count,cash_trip_count,active_days,active_pickup_zones,avg_revenue_per_trip,avg_fare_amount,avg_trip_distance,avg_trip_duration_min,avg_passenger_count,credit_card_share,cash_share
2,Mon,14,627247,1.9109829609999973E7,1.3573007699999996E7,2639015.2200000007,1.230188051666667E7,812101,476417,119411,105,250,30.46619531061922,21.639015730645177,4.2072982732480195,19.612497973950724,1.294706869861474,0.7595365143237034,0.19037317037785753
2,Mon,15,648987,1.959707895999997E7,1.3920874089999994E7,3033381.2699999996,1.2978452833333336E7,847169,496557,119540,106,249,30.196412193156366,21.450158616428364,4.674024703114237,19.998016652619135,1.3053712940320839,0.7651262660114918,0.1841947527454325
2,Mon,16,641791,2.108067775999998E7,1.389610007999999E7,2975654.6000000006,1.276923175E7,834483,499307,109258,105,248,32.846639731626,21.65206442595797,4.636485397894331,19.896246207877642,1.3002410442028636,0.7779900310225603,0.17023922117948054
2,Mon,17,699873,2.1445966879999973E7,1.3908869329999996E7,2928251.9200000013,1.265419033333333E7,888448,554065,103359,106,249,30.642654995977804,19.873418934578126,4.183976121382024,18.080695116590196,1.269441741573114,0.791665059232175,0.14768250811218606
2,Mon,18,713738,2.0609774019999985E7,1.3107489499999998E7,2543655.32,1.1247554183333328E7,899067,573381,97119,105,244,28.875825611078554,18.364567250167426,3.5638502083397547,15.75865959684552,1.2596597070633762,0.8033494083263046,0.13607093919617563
2,Mon,19,596836,1.764314322999999E7,1.123672601E7,2255690.7499999995,8817792.533333335,765443,484427,81841,105,245,29.561124379226435,18.827158566172283,3.7794146968346407,14.774230330163286,1.2825013906667828,0.8116584790461702,0.1371247712939568
2,Mon,20,554497,1.6014133899999997E7,1.0746177049999997E7,2092457.0299999996,8079259.216666667,709429,447946,73188,106,244,28.880469867285118,19.380045428559573,3.7736128960120605,14.570429085579663,1.2794099877907366,0.8078420622654405,0.13198989354315713
2,Mon,21,537994,1.5649130529999997E7,1.0585805279999997E7,2368586.07,7885284.666666671,684542,428857,67318,106,239,29.087927616293115,19.67643743238772,4.4026254382019125,14.65682640822513,1.272397089930371,0.7971408603069923,0.12512778952925124
2,Mon,22,425476,1.3228864709999997E7,9107324.82,1960014.21,6505573.166666665,539212,334369,55449,105,244,31.0919175464656,21.40502594740949,4.6066387058259455,15.290106061603158,1.2673147251548853,0.7858704133723171,0.13032227434684918
2,Mon,23,276639,9824872.879999995,6896928.069999998,1522303.46,4517003.933333334,348655,213026,41305,106,244,35.515140236915244,24.931148789577747,5.502851947845387,16.328153056269482,1.2603248276634893,0.7700504990258062,0.14931011173406497
