day_type,is_weekend,hour,total_trips,total_revenue,avg_revenue_per_trip,avg_fare_amount,avg_trip_distance,avg_trip_duration_min,avg_passenger_count,credit_card_share,cash_share,active_days,active_pickup_zones
weekend,1,1,939971,2.3004363220000003E7,24.47348186273832,16.737085739879205,3.2801835482158492,14.556985091384023,1.2630591794853245,0.7706535627162966,0.08695055485754348,209,256
weekend,1,2,675894,1.6106939719999993E7,23.83057065161104,16.226851636499205,3.3819153299185962,13.430701855616409,1.271683133745824,0.7742708176134128,0.08872249198838872,207,247
weekend,1,3,446610,1.099859564E7,24.626845883432974,16.954300911309637,4.346488994872483,13.471909309389991,1.2567922796175635,0.7507646492465462,0.10372136763619265,210,244
weekend,1,4,249994,7170979.629999998,28.684606950566806,20.580372608942618,5.549050777218654,14.147766413060578,1.1552877269054458,0.6470835300047201,0.14102738465723177,209,252
weekend,1,5,115399,4611517.04,39.96149914643974,29.50165746670248,7.458935519371914,16.29583921871074,1.11656946767303,0.5977348157263062,0.20685621192557996,209,250
weekend,1,6,182288,6838689.549999997,37.51585156455717,28.0297462806109,11.801279239445273,15.316983655899822,1.1140777231633459,0.6206442552444483,0.2145451154217502,209,250
weekend,1,7,273069,9153527.76999999,33.5209334270825,24.519430363754225,9.740840263816107,14.378874326025045,1.1890657672602896,0.685321292420597,0.20705389480314498,209,250
weekend,1,8,427908,1.2379657349999975E7,28.930651798984773,20.647182221412056,7.0288098142591355,13.49380797585774,1.2458075100255195,0.7248824513680511,0.19164633519354626,209,249
weekend,1,9,667873,1.7563049489999957E7,26.296989831899115,18.43613869702772,4.788156056615555,13.405653045813603,1.2889561338757518,0.7352430776509905,0.18550832269009226,209,253
weekend,1,10,896529,2.301180113999994E7,25.667659540293666,17.876091905560216,4.6207914300597075,13.994923755952119,1.3136842199192664,0.7436903881525305,0.17964728413693254,209,252
weekend,1,11,1058708,2.7248999809999958E7,25.73797478624886,17.972503239797923,4.6039142520883924,14.925869235583999,1.326392168567726,0.7470558454266899,0.17458827174253902,210,255
weekend,1,12,1201589,3.2078033959999938E7,26.696344557082277,18.79001471384973,4.466096518859608,16.230602740759664,1.3288994822688955,0.7460529349053628,0.17030365624185972,209,256
weekend,1,13,1256150,3.520395235999994E7,28.025277522588816,19.894017362576133,4.195897560004778,17.49127283100478,1.339270787724396,0.7446093221350953,0.17035067468057158,209,254
weekend,1,14,1275677,3.7540972189999975E7,29.428273920435952,20.990348324850267,5.3895748296786765,18.54053264789336,1.3569908370222243,0.7511203854894303,0.17051024671605744,210,256
weekend,1,15,1290004,3.855992005999996E7,29.89131821296675,21.43446610243069,4.977719883039123,19.117877166789153,1.3689515691424212,0.7572263341819095,0.16987776782087496,210,256
weekend,1,16,1331999,3.9620879249999985E7,29.745427173744112,21.301696622895363,4.590968777003588,19.38525309203185,1.3705190469362214,0.7575621303018997,0.16613075535341992,209,255
weekend,1,17,1359656,3.902618250999999E7,28.702982600010586,20.56344060556495,4.438418055743514,18.70916532073799,1.3525531457957012,0.7519335773166154,0.15959330889577952,209,255
weekend,1,18,1357399,3.7703775349999994E7,27.776486758867506,19.811366886228754,4.0951520149933796,17.814900715756146,1.3424932536417074,0.7538321451540778,0.15361069221356433,209,255
weekend,1,19,1261390,3.509573766E7,27.823066347442104,19.859965997827793,4.310015815885651,17.387607929876307,1.3434964602541641,0.75367649973442,0.14840295229865466,209,253
weekend,1,20,1094738,3.1965406849999983E7,29.199138835045446,20.168778337830602,4.599233314272454,16.87820294292637,1.3520340026563433,0.7630620294536227,0.14476705841945745,210,255
weekend,1,21,1061584,3.1266225859999973E7,29.452427561078515,20.28383681366713,4.643770365793001,16.50711573460037,1.3696042894391778,0.778353856124433,0.14043071485629022,209,253
weekend,1,22,1048398,3.1761903409999993E7,30.295654331656483,21.190529875104676,4.924989937027733,16.82268920454509,1.3465973800026325,0.7707931529819783,0.13197755051039778,210,256
weekend,1,23,955546,2.9292755169999994E7,30.655515453991743,21.587519554265317,4.484807910869807,16.688732741978576,1.282061774106113,0.7469928187653969,0.12242738706456832,210,257
