hour,PULocationID,pickup_zone,pickup_borough,total_trips,total_revenue,total_fare_amount,total_trip_distance,total_trip_duration_min,total_passenger_count,credit_card_trip_count,cash_trip_count,active_days,active_pickup_zones,avg_revenue_per_trip,avg_fare_amount,avg_trip_distance,avg_trip_duration_min,avg_passenger_count,credit_card_share,cash_share,zone_rank_in_hour
10,170,Murray Hill,Manhattan,120793,2833595.190000001,1949222.04,285394.26999999996,1864365.7999999998,153198,94418,21386,731,1,23.458273161524268,16.136879123790287,2.3626722574983647,15.434386098532197,1.2682688566390437,0.781651254625682,0.17704668316872665,8
10,230,Times Sq/Theatre District,Manhattan,119552,3721061.41,2632802.3799999994,491269.8900000001,2299972.95,181850,83857,30540,731,1,31.12504525227516,22.02223618174518,4.1092569760438975,19.238264102649893,1.5210954229122056,0.701426994111349,0.25545369379014987,9
10,142,Lincoln Square East,Manhattan,111694,2376505.0400000005,1595696.88,234742.09,1505006.0833333333,137740,88803,17827,731,1,21.276926603040454,14.286325854566941,2.1016535355524915,13.474368214347532,1.2331906816838862,0.7950561355130983,0.15960570845345318,10
11,237,Upper East Side South,Manhattan,221952,4420277.790000001,2931282.5000000005,421689.75,2887537.133333334,275122,177234,37654,731,1,19.915467263192046,13.20683075619954,1.899914170631488,13.009736940119186,1.239556300461361,0.7985240051903114,0.1696492935409458,1
11,236,Upper East Side North,Manhattan,217829,4503905.7700000005,3015178.0300000007,464920.4199999999,2970274.5666666664,267340,176485,32619,731,1,20.676336805475856,13.841949556762417,2.1343366585716317,13.635808669491512,1.227292968337549,0.8101997438357611,0.1497459016017151,2
11,161,Midtown Center,Manhattan,181248,4630278.09,3198830.2100000004,467172.05,3077508.45,244922,140359,35221,731,1,25.54664376986229,17.648913146627827,2.577529407221045,16.97954432600636,1.3513087040960452,0.7744030278954802,0.19432490289548024,3
11,186,Penn Station/Madison Sq West,Manhattan,149893,3940559.6799999997,2812271.0499999993,336922.25000000006,3054760.1333333333,200793,114431,31371,731,1,26.28915079423322,18.761857124748982,2.2477517295670917,20.379605007127306,1.3395755639022502,0.7634179047720707,0.20928929302902738,4
11,162,Midtown East,Manhattan,146560,3591096.95,2477464.55,346655.43,2389985.5166666666,192578,114882,26991,731,1,24.502571984170306,16.904097639192138,2.36527995360262,16.307215588609896,1.3139874454148472,0.783856441048035,0.18416348253275108,5
11,138,LaGuardia Airport,Queens,141327,9946656.420000002,6534981.2,1431124.5799999996,4967132.266666666,195229,120425,18478,730,1,70.38043983103017,46.24014661034339,10.12633523672051,35.1463787292355,1.3813991664720824,0.8521018630551841,0.13074642495772215,6
11,170,Murray Hill,Manhattan,129376,3081329.1900000004,2130627.0,473711.73,2060173.0,165475,99703,23655,731,1,23.816853125772944,16.468487200098938,3.661511640489735,15.923919428642098,1.2790239302498145,0.7706452510511996,0.1828391664605491,7
11,239,Upper West Side South,Manhattan,128772,2798006.840000001,1876999.2499999995,417839.55999999994,1772833.3,160466,102810,19055,731,1,21.728379150747063,14.576144270493582,3.2448013543316865,13.767226570993694,1.2461249339918616,0.798387848290001,0.14797471500015533,8
11,230,Times Sq/Theatre District,Manhattan,128091,4098012.21,2907614.7,520874.57,2568097.4499999997,191829,91404,30973,731,1,31.992975384687448,22.69960184556292,4.066441592305471,20.049007736687198,1.4975993629529007,0.7135864346441202,0.24180465450343896,9
11,142,Lincoln Square East,Manhattan,124802,2678670.4000000004,1807608.34,258589.28999999998,1729893.4,156169,98282,20934,731,1,21.463361164083913,14.483809073572539,2.0719963622377846,13.861103187448919,1.2513341132353648,0.7875034053941443,0.16773769651127385,10
12,237,Upper East Side South,Manhattan,249067,4999928.300000001,3325970.460000001,415237.9200000001,3323413.9166666665,310163,198316,41864,731,1,20.074631725599943,13.353717915259754,1.6671735717698455,13.34345343488566,1.2452994575756724,0.7962355510766179,0.16808328682643625,1
12,236,Upper East Side North,Manhattan,239685,4942502.430000002,3311050.76,589467.78,3263736.2833333323,297422,191597,37251,731,1,20.620824957757062,13.814175939253603,2.459343638525565,13.61677319537448,1.2408869975175751,0.799370006466821,0.15541648413542775,2
12,161,Midtown Center,Manhattan,203873,5257587.6400000015,3644411.09,515059.5599999999,3573238.6499999994,274790,157922,39190,731,1,25.7885430635739,17.87588886218381,2.526374556709323,17.5267870193699,1.3478489059365388,0.774609683479421,0.19222751418775413,3
12,138,LaGuardia Airport,Queens,154434,1.0708295720000003E7,7017620.960000001,1512799.2000000002,5232893.883333334,212704,130928,20699,731,1,69.33897794527114,45.44090653612547,9.795765181242473,33.884338185460024,1.3773132859344446,0.8477925845344937,0.13403136614994107,4
12,162,Midtown East,Manhattan,151913,3799541.69,2627741.57,429107.0999999999,2573279.283333333,197084,119534,27417,731,1,25.011300481196475,17.297674129271357,2.8246897895505976,16.939164412086743,1.2973478240835215,0.7868582675610383,0.18047830007965085,5
12,186,Penn Station/Madison Sq West,Manhattan,144643,3855114.4400000004,2759569.0599999996,331418.64,2975905.4000000004,194581,110119,30417,731,1,26.652616718403245,19.078483300263404,2.291287099963358,20.574140469984723,1.345250029382687,0.7613157912930456,0.21029016267638254,6
